::1 - - [01/Sep/2025 12:54:03] "HEAD / HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:15] code 404, message File not found
::1 - - [01/Sep/2025 12:54:15] "GET /index-3d-fixed.html HTTP/1.1" 404 -
::1 - - [01/Sep/2025 12:54:15] code 404, message File not found
::1 - - [01/Sep/2025 12:54:15] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [01/Sep/2025 12:54:28] "GET / HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /style.css?v=39 HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/main.js?v=122 HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/config/constants.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/audio/AudioManager.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/map/MapGenerator.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/entities/Entity.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/map/WebGLFogOfWar.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/entities/Player.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/core/GameState.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/entities/Enemy.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/input/InputManager.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/entities/Projectile.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/effects/Particle.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/entities/Portal.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/entities/DroppedItem.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/ui/InventoryManager.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/ui/ScreenManager.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/ui/RecordsManager.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/ui/SettingsManager.js HTTP/1.1" 200 -
::1 - - [01/Sep/2025 12:54:28] "GET /js/ui/ContextMenuManager.js HTTP/1.1" 200 -
